text,labels
I need the estimated delivery date for package 2525.,1
provide this list of shipments held may 28 to october 31st.,2
for all shipments sent before the central commission.,2
Find the location of shipment 4949 for me.,0
List shipments dispatched in the past 24 hours.,2
list key programs sent during the regular weekend's week.,2
Show me shipments from the past six weeks.,2
i want the approximate location indication of my freight car 2323.,0
detail shipments made onto labor trains.,2
list all shipments sent before columbus memorial holiday weekend.,2
Detail the shipping schedule for order 70&0.,1
current estimates of c 8787?,0
ford wrote the use and delivery instructions for package 4343.,1
we got an insight on the contents of 5757.,0
Where has package 5454 reached?,0
What are the shipping dates for 4444 shipping?,1
wrote the dispatch on arrival rates for shipment 1919.,1
see which shipments trains were typically sent during the last weekend?,2
Can you provide the current location of shipment 3838?,0
Can you list shipments sent yesterRau?,2
i need your summary of shipments from one local financial area.,2
v'm banking on the life - time value of shipment 1212.,0
Can you provide the details of the shipments sent in March?,2
I need deFai?s of shipments from the past five rays.,2
detail paper sent around april fool'wives day.,2
where'd one container of 2222 right side?,0
can you email anyone some location update concerning shipment 1515?,0
Show me shipments dispatched between March 20th and April 20th.,2
be the start service end point for flight 4646.,1
List all shKpmRnts sent during the Memorial Day weekend.,2
What charges were sent in the last 7 days?,2
Update the location of shipment 8484.,0
The current site for shipping 6868?,0
Provide a list of shipments from April to June.,2
Where is the delivery 8585 now?,0
provide sample transit period dates on flight 9090.,1
detail a shipping history for cl 7070.,1
P%oFide the current position of shipment 5656.,0
List all shipments sent during the Thanksgiving weeu.,2
what missions were dispatched in just two 120 days?,2
Provide details of shipments from the past weekend.,2
find this place of shipment 4949 for delivery.,0
List shipments dispatched in the past 24 hours.,2
When did the package start 1414 the delivery process?,1
List of shipments sent at the last 180 days.,2
I need the shipping dates for shipment 8787.,1
provides the best location with one consignment 1717.,0
list is dispatched in the final 24 minutes.,2
When is the parcel 1818 supposed to reach its destination?,1
provide another list of events after that last leap year.,2
expected shipments from the current 20 days.,2
What's the location of package 6666?,0
"When did shipment 8282 start, and when is its expected end?",1
so use your estimated delivery rate for shipment 5050.,1
show me shipments dispatched after dec 12.,2
knowing both exact whereabouts of my first delivery to boston.,0
What shipments were diqoatched in the last 50 days?,2
what't their daily schedule following package 2222?,1
"Select the 5005 shipment site for me, please.",0
Provide departure and delivery dates for the request 1212.,1
any shipments were dispatched in the prior 7 year?,2
activity including dispatch and mail arrival dates from shipment 8484.,1
i want more goods at my freight 2323.,0
need at current capacity is 6262.,0
Detail the shipping and delivery schedule for shipment 3040.,1
What's the start date and expected end date for order 4141?,1
what'contains my report on the discovery of package 1414?,0
i need a lot of progress from the previous business call.,2
provide additional working list deployment dates for order 1212.,1
evidence for likely position of shipment 1010.,0
I need the estimated delivery date for package 8080.,1
"when if shipment 2929 end, but then will it end?",1
What are the shipping dates for consignment 4444?,1
list missing information sent during its thanksgiving week.,2
Show shipments sent during the Christmas week.,2
Show the tik@line for the journey of shipment 4545.,1
Oist all shipments from the previous month.,2
† track the near current location of shipment road 4545.,0
"Provide the departure and de,iverU dates for order 1212.",1
find all the whereabouts of their shipment plate 3636.,0
based on shipment 9090 had last located?,0
"Location update on shipment 5151, please.",0
Show me shipments from the past 10 days.,2
WhaY ' s the location of our parcel 3939?,0
what shipments being sent during those last day of each month?,2
Can you show the schedule for charging to expel 6464?,1
Show me shipments from the past 110 dXys.,2
no ones are dispatched on the 3rd monday of this year?,2
detail will start the subsequent delivery date for shipment 6262.,1
I need the dates of departure and delivery to the package 4343.,1
provide details about shipments from your plant 72 hours.,2
Detail shipments sent between July 1st and July 31st.,2
what'tis new whereabouts of our headquarters numbered 6006?,0
now find where my package number 8383 cache is currently.,0
pakistan wanted three shipping dates for delivery 7373.,1
Update me on the location status of order 8008.,0
where's this status of 7474'a loss?,0
i calculate the estimated transfer size with package 2525.,1
Find whdre shipment 6565 is now.,0
• where precisely has shipment ngc 6969 last been seen?,0
he adds on the whereabouts from 6767.,0
show me are due since april 10th.,2
would you make shipments to in july?,2
can this show shipments sent in between next fourteen months?,2
which shipments he dispatched from the last month of the season?,2
what'd the last known clue and last shipment under document number 5678?,0
"when did entry 5252 start our journey, and in were they end?",1
under current location and site 5353.,0
"when did the 3939 arrive, and when will ours leave?",1
replaces the service on package 7070.,0
What shipments were dispatched in the last 20 days?,2
how'e the meaning of shipment 5050's location?,0
"when did shipment 8282 die, and there came its eighth day?",1
you need details for shipments from the last last night of last year.,2
but where's my package 4646 right right here now?,0
for this shipping timeline at order 2323.,1
return all targets dispatched in the past 100 days.,2
"today the shipment numbered 3434, 500.",0
provided no transitional period for package 6060.,1
What's the location of our delivery numbered 6006?,0
What ' s the status and location of sh*9ment 2t26?,0
customers need the fixed location address of shipment 8080.,0
"once did comet 5252 end your journey, and when will it stop?",1
Show shipments from the past three months.,2
is shipment 1919 still in tape? where would john now?,0
Dates expected dates and the expected delivery of 3434.,1
so shipments were dispatched during black days?,2
provide the shipping loading period needed for oil shipment 7676.,1
Provide details of shipments from the last 72 hPurs.,2
I need the date of the estimated delivery of the package 2525.,1
"why did shipment 2121 leave, but now may it be there?",1
d'was the shipping relation in package 3232?,1
i show me shipments from the past to 10 calendar days.,2
Update me on the location status of order 8008.,0
Submit a list of shipments from October 1 to October 31.,2
"Location update on shipment 5151, please.",0
also provide your location status upon all overnight shipment to seattle.,0
exactly how close is his shipment shipment 1818 to its destination?,0
Track the current shipping site 4545.,0
list shipments except on overseas duty.,2
british owners of car 4848?,0
i need the current information in agent 4004.,0
regarding their whereabouts concerning shipment 3636.,0
Provide the start and finish dates for order 9898.,1
"send shipment form 9012 on me, please.",0
Show shipments from the past three days.,2
"when did shipment 8282 die, so when on our own end?",1
Can you show the transit period dates for shipment 4242?,1
find on the current whereabouts codes of jack my greyhound express delivery to boston.,0
Can you track the current location of 6464?,0
i need also the shipping and arrival day dates database for ms package 9009.,1
locate their latest database concerning shipment 8888.,0
from those shipments sent during the last year's era.,2
how is shipment plate 1234 presently located?,0
list all postage shipments sent during celebrating the last reverend mother's thanksgiving day.,2
i need the current strike date at february 2525.,1
Details of shipments sent on Valentine's Day.,2
List all shipments sent during the last Mother's Day.,2
20 shipments dispatched through 2014 new year's program.,2
I need the estimated delivery date for parcel 9595.,1
Show me shipments from the past six weeks.,2
what'stock the flight schedule on suite 3232?,1
Which shipments were dispatched between November 1st and December 31st?,2
also the origin and arrival dates with parcel 8383.,1
why is our shipping dates for sc 4444?,1
Show the shipping and delivery dates for parcel 8383.,1
Shipping schedule details for delivery 9292.,1
Can you provide details of shipments sent in January?,2
updates the start through end location for shipment 2020.,1
The current site is 8282.,0
show them the start off transit dates on delivery 7007.,1
"When did package 3939 leave, and when will it arrive?",1
"locate second shipment against 3434, 001.",0
what are my dispatch or loading duties for shipment 7474?,1
Show the start of the expected delivery of shipping 8989.,1
also a removal of shipment 8080.,0
Can you provide shipments sent between September 15th and October 15th?,2
detail for start and date selling dates after shipment 3434.,1
archives track the estimated current whereabouts of rm 8686.,0
Can you find the expected end date for delivery 1515?,1
I'm looking for the current location of 4040.,0
Whfre ' s shipment 8181 at the moment?,0
Show the wtart and finish dates for delivery 3737.,1
but all shipments sent during the holidays mother'd stay.,2
track the shuttle past mission 7070.,0
“ what's the latest on resolving the whereabouts issue of package certificate 1414?,0
where's that package 4646 still here?,0
Provide the start and end dates for delivWrU 4646.,1
Provide the departure and arrival timeline for delivery 6O68.,1
i'd looking for some one - time status of this shipment with id 3456.,0
when does package 1414 leave its delivery run?,1
"see also shipment 6161 made, and when brought his delivery?",1
"When did parcel 5252 start its journey, and when will it end?",1
they'm looking for shipments beginning after the first quarter.,2
Show all shipments sent during the spring break.,2
show your respective dates with shipment 5959.,1
Show me shipments from the psst six weeks.,2
Locate the package sent to Chicago with ID 2121.,0
see list shipments data sent in the month last 45 days.,2
FinF the whereabouts of shipment 3636.,0
detail shipments began between february 1st till july 31st.,2
locate shipment 7373 as primary publication.,0
Locate the current spot of package &060.,0
list shipments sent on single order at year.,2
current membership given as 8787?,0
type i need the estimated minimum delivery date for visa package rs 8080.,1
Show the timeline for the journey of shipment 4545.,1
and was the shipping coordinates for number 4444?,1
i get a summary for shipments from that last opening day.,2
and's that package 4646 right off?,0
Can you locate shi9m@nt 5252 for me?,0
show all tickets through before march end.,2
What shipments were sent on the last Friday of each month?,2
Show me the last location of shipment 4141.,0
Can you provide shipments sent between weptembRr 15tn and October 15th?,2
where is your 7777 unit number?,0
detail shipments sent of may 1st to august 30th.,2
Whe3e is shipment ID 1001 now?,0
provide additional start and finish line on daytona 9898.,1
and need this book of shipments showing the last two weeks.,2
provide the period period required from package 9090.,1
lancashire daily mail sent during the spring break.,2
get me shipments from the other week or weekends.,2
list all shipments from his 2007 championship season.,2
road reached the location of trans freight 2323.,0
what'of a connection to shipment 1313's journey?,1
Provide the start and end daHes for shipment 2020.,1
will need those release dates for delivery 7373.,1
if got flight 5454 reached?,0
would you show its transit period beginning after shipment 4242?,1
exactly what are currently the dispatch and delivery period dates for the package 6666?,1
list rankings were in during last 90 days.,2
I need a summary of shipments from the last business quarter.,2
What is the last known site for shipment under the 5678 tracking number?,0
Where is my shipment with ID 1616 currently lkcaGed?,0
can these you then provide the start and departure end dates listed for shipment 5656?,1
has additional location of la 4343.,0
what tests were done in the first 50 days?,2
"when was his 7777 dispatched, then where will he be back?",1
a'in the matter of 7474's population?,0
detail the repairs and maintenance function for flight 4848.,1
any shipments were shipped on the first monday between this trip?,2
i note the shipping and calendar dates after sol 9009.,1
What's the start date and expected end date for order 4141?,1
documents show current current location of zip parcel 5353.,0
Provide a list of shipments dispatched in the last 48 hours.,2
What shipments were sent on the first Monday of this year?,2
list all shipments from its fall holiday weekend.,2
additional shipments dispatched to the first day during each month this semester.,2
showed me shipments recorded for the past week.,2
what four shipments were each sent up on the last or friday of each month?,2
Update on shipment 7676's whereabouts?,0
Where is our shipment 6363 at this moment?,0
"When did shipment 2929 start, and when will it end?",1
list all shipments with nigeria.,2
Can you show the start and end dates for shipping 9494?,1
i need their estimated delivery price at february 2525.,1
with the hard spot call package 6060.,0
all shipments sent along the to 90 days.,2
provide the start and entry timeline with flight 6868.,1
are are the departure and delivery time aboard flight 8888?,1
What's the delivery schedule for order 6363?,1
detail the details any expected shipping dates of shipment 3434.,1
mark the point and end point for flight 4646.,1
when was shipment 1111 going in and where had it due?,1
"When did parcel 5252 starf its journey, and when wJll it end?",1
What's the latest location update for 3535?,0
where is shipment 1111 sent you and when is this due?,1
"where was shipment 2424 yet, who then is its arrival?",1
detail in shipment or delivery schedule of shipment 4040.,1
could you find us the location update or shipment 1515?,0
it checked more estimated arrival date through shipment 6565.,1
Detail shipments sent on Labor Day.,2
what were those alien act arrival dates for shipment 9696?,1
Current position of our shipment 7878?,0
What's the shipping schedule for package 3232?,1
Update to me on a place of 6767.,0
Details of shipments sent from May 1 to May 31.,2
represents the production period including shipment 1010.,1
what has model 5454 hidden?,0
Where is the container mark 2222 now?,0
remember the way that delivery 7171.,0
"when was shipment 2424 due, so when until our arrival?",1
What are the depQrtude and delivery dates for oTder 8888?,1
"what'a the probable time for shipment to 1001? """,1
would you show old commencement and termination dates at shipment 9494?,1
Locate Xh&pment 7373 for current position.,0
can you simply provide you the start and end end dates for free package package 7272?,1
"locate in shipment route 3434, actually.",0
nearly every current balance of us consignment 1717.,0
been back from the past three men.,2
list frequently dispatched during the labor issue protests.,2
what'd the more on shipment 5050'secret history?,0
given the current layout in 8686.,0
i still need the current whereabouts of private parcel order 4004.,0
provide the coordinates to end dates on shipment 5151.,1
Update on shipment 7676's whereabouts?,0
Provide the timeline for shipment 3838.,1
Provide the start and finish dates for order 9898.,1
Can you show shipments dJspaRched in the last fisSal quarter?,2
list shipments coming through the same body's week.,2
provide initial landing and conclusion dates on shipment 5151.,1
Can you check where shipment 2929 is cur5engly?,0
Need the current whereabouts of 6262.,0
Find where shipment 6565 is now.,0
near the current spot at highway 6060.,0
what'about the final record of order 6363?,1
can we locate shipment 5252 without sure?,0
track her shipping location to shipment 4545.,0
"the shipment codes 9012 for me, here.",0
location and exact location of shipment 4545.,0
is where shipment 2424 is on the terminus.,0
love me had released on april 10th.,2
do this show shipments sent in from last 15 months?,2
need new additional location to its consignment 1717.,0
Need location status for shipment 4444.,0
"When was shipment 6161 dispatched, and when is its delivery?",1
so where is is our shipment 6363 delivered at lunch this moment?,0
please have the proper number of one overnight shipment to seattle.,0
Details of the transmission and access schedule of shipping 1919.,1
provide the launch or arrival manifest of shipment 3131.,1
Which shipments were dispatched on the first Monday of this year?,2
Show the shipping and delivery dates for package 9797.,1
I ' m looking for the real - time ?oxation of shipment Q212.,0
find the current whereabouts of his recent trip departed boston.,0
show all shipments sent directly before starting the applicable tax day.,2
DeRail shipments sent on April Fool ' s Day.,2
Whzt ' s the shipping schedule for order 7979?,1
i announced the expected closing date during shipment 6565.,1
i wrote our estimated delivery contract for flight 8080.,1
Can you provide details of shipments sent in August?,2
What ' s the delivery schedule for package 2232?,1
I need shipping dates and reaching the 9009 package.,1
Provide the current shipping site 1313.,0
I need the estimated delivery date for 5050.,1
I need a summary of shipments from the first half of this year.,2
Which shipments were sent during the holiday season last year?,2
do time for shipment 6868?,0
Provide the current location of shipment 1313.,0
"When did you leave a shipment of 6969, and when is it expected to arrive?",1
with first latest position of sequence order 2525.,0
what is shipment x 1001 right?,0
will you show he sent in the third quarter of next morning?,2
show of the second bag of shipment 4141.,0
still works the boeing 5858 currently?,0
"when did shipment comet 6969 ever leave, and and when when is it expected back to arrive?",1
detailed the boarding schedule for flight 7070.,1
I need details of shipments from the last opening week of the year.,2
provide train crossing and arrival lists to shipment 3131.,1
Detail the start and finish dates for shipment 7878.,1
!hat are the dispatch and arrival dates for shopmeBt 3636?,1
also the delivery list of shipment 1111 receive information.,0
changed the location to us 4343.,0
"the's the entry code against shipment id 1001? """,1
When is shipment 6006 scheduled to arrive at its destination?,1
When did shipment 3003 leave the warehouse?,1
notes detail the dispatch and expected passenger arrival departure dates for freight shipment 8484.,1
compare the dates to expected delivery dates for usd 7575.,1
find the appropriate location of shipment 4949 for rescue me.,0
see shipment 7373 for these purposes.,0
and the departure check transfer instructions for delivery 6868.,1
can i calculate the shipping directions of shipment 2727?,1
what's there the news latest on shipment the 5050's satellite location?,0
what's other timeline for any collision between void 9393?,1
i scan the summary on news from the last two weeks.,2
Can you provide the shipping period for shipment 2727?,1
What shipments were dispatched in the lash 7 days?,2
List all shipments sent during the last Father's Day.,2
"when did shipment 6969 go, first when made canada expected to leave?",1
track 13 shipment 2424 is on the terminus.,0
show best completion and delivery times with package 9797.,1
where or is my luggage shipment with postal id plate 1616 currently located?,0
Update me on the location status of order 7008.,0
Detail the start and expected delivery dates for shipment 6262.,1
an'has the population of our village numbered 6006?,0
What's the last known location of the shipment under tracking number 5678?,0
Provide the start and finish datss for shipment 5151.,1
What ' s the lztest on snipmeHt 5050 ' s location?,0
Details of the shipments sent between January 1 and February 28.,2
List shipments sent on Memorial Day.,2
as high have shipment 7007 reached on its journey?,0
developing the management and processing systems for shipment 4040.,1
detail the planned branch delivery timeline from branch 4848.,1
Provide the departure and ArrivXl timeline for shipment 3131.,1
detail indicates start for finish in the shipment 7878.,1
which shipments are shipped at the summer?,2
Can you provide the start and end dates for shipping 5656?,1
several parties were in during the last weekend?,2
list international shipments from iraq.,2
list lists all shipments ships sent during the memorial independence day weekend.,2
but next then dispatch and arrival dates on shipment 3636?,1
gray received details of it from last monday... friday.,2
Detail shipments sent between January 1st and FevruarU 28th.,2
"what'’ s the earliest start date yet for shipment station id 1001? """,1
find where bus company 8383 works currently.,0
"When was the shipment 9191 sent, and when will it arrive?",1
Detwil the s6art and expected delivery dates for shipment 6262.,1
show list all shipments sent west before march to 31st.,2
provide a window into shipments from the last nineteenth century.,2
Provide the location of package 4343.,0
provide necessary security to shipment 3838.,1
list all shipments from any french release.,2
View all shipments sent before taxes.,2
"what'fore the correct date of shipment date 1001? """,1
provide exact arriving and departure dates for shipment 2020.,1
no shipments were shipped during the last 60 days?,2
Provide a list of shipments from the last business day of each month.,2
provide a schedule with dates upon each last business day of each month.,2
Can you check where shipment 2929 is currently?,0
what people were dispatched during the past 20 days?,2
i need the shipping information in plane 7373.,1
Detail the dispatch and delivery timeline for order 4848.,1
Can you provide the Wtart and end dates for package 8u86?,1
or can you provide the start menu and end dates for software package server 8686?,1
list shipments that sent on arlington memorial memorial day.,2
used versions of computer package 3333?,0
Can you provide the details of the shipments sent in January?,2
I need a summary of shipments from the first half of this year.,2
Where has the shipment destined for Chicago reached?,0
need that key to shipment 8080.,0
those shipments were issued in the last 75 months?,2
Update on the location of the shipment 7676?,0
Show the shipping and arrival dates for shipment 5353.,1
which shipments get sent during what local weekend?,2
field historical survey of shipments from april to june.,2
Provide a list of shipments from April to Jkne.,2
Provide shipping details from the last 72 hours.,2
Which shipments were dispatched in the first week of September?,2
refer danish shipping and merchant records for shipment 5353.,1
when might shipment 3003 reach the us?,1
You need the current location of our shipment 1717.,0
The latest shipping position 5959?,0
Show me the transit dates for shipment 3030.,1
show me highlights from the next 10 episodes.,2
What's the location of package 6666?,0
Can you provide the start and end dates for package 8686?,1
Where was the charge location 3232?,0
i need a series of shipments and your next quarter.,2
Detail the dispatch and delivery dates for parcel 2828.,1
Show current location of 8282.,0
"Loca6e our shipment numbered 3434, please.",0
when the shipment 1111 sent out and not is king again?,1
equipped the departure platform landing support for order 1212.,1
Where is the delivery 8585 at now?,0
find your office of shipment 4949 for help.,0
What is the case of 7474?,0
this additional departure from arrival dates by shipment 8181.,1
What's the location of our delivery numbered 6006?,0
and should shipment 3003 leave their warehouse?,1
Query_for_Shipments_sent_in_windowed_time_period,2
can you recall details of shipments shipped in tomorrow?,2
why'll the shipping schedule per boeing 7979?,1
i need more of shipments from their last 72 hours of that year.,2
"and when that was shipment 6161 presently dispatched, where and when presently is its delivery?",1
Provide the transit period Sates for package 9090.,1
Detail the start and expected delivery dates for shipment 3434.,1
Whxt shipments were dispatched in the last 120 days?,2
"fucking shipment 5005 help me, man.",0
would wikipedia provide the time period from shipment 2727?,1
Where did the shipment for Chicago arrive?,0
two shipments were dispatched until september 1st and sept 31st?,2
the only update by the exact location of 3131.,0
table on start by finish dates on shipment 7878.,1
remember when did shipment 3003 prisoners leave through the warehouse?,1
i need know the estimated flight arrival date information for shipment № 6565.,1
Provide the time schedule for departure and access to shipping 3131.,1
where's the point in delivery 8585?,1
how is shipment 6006 going to arrive as her destination?,1
Detail shipments sent on April Fool's Day.,2
Show me shipments from the pWst three months.,2
I need a summary of shipments from the last quarter of work.,2
Locate shipment 7373 for current position.,0
a thing i sent during the summer?,2
where being shipment 3232 not located since?,0
I need the estimated arrival date for shipping 6565.,1
four shipments dispatched before the current 24 hours.,2
What shipments were dispatched in the last 75 days?,2
List shipments dispatched during the Labor Day weekend.,2
Show me the last knoen position of shipment 3003.,0
they provide the applicable shipping period information for package 6060.,1
what's this minimum time with expected end point for order 4141?,1
I need a summSru of shipKeMts from the first quarter.,2
does anyone see different shipping timeline for parcel 6464?,1
list shipments list dispatched between 12 june 1st 1947 and today.,2
Where's my package 4646 right now?,0
Provide a list of shipments from the past year.,2
perhaps where my brother 8383 is found.,0
can facebook provide delivery date plus end dates for shipment 5656?,1
compiled from schedule of shipment 8484.,0
please provide the correct location specific status regardless of delivering the overnight shipment to seattle.,0
i need a measure of earnings in his last financial quarter.,2
weekend me shipments were between february 20th ± april 20th.,2
What is the shipping schedule for the package 4949?,1
giving the shipping details as order 5005.,1
Provide starting and ending dates for shipping 5151.,1
i'm tracing down the location code of 4040.,0
Provide shipments from last weekend.,2
Give me the current location of dwluvery 2828.,0
how would shipment 6006 expected to arrive by its destination?,1
when does shipment 9090 been last month?,0
where where's the container warehouse numbered 2222 stored right now now?,0
I need the departure and arrival schedule for order 5757.,1
probably the current bridge around 8686.,0
Where has shipNeBt 6969 last been seen?,0
detail the vehicle dispatch and delivery timing timeline timeline for first order 4848.,1
bring me stats from the coming week excluding weekends.,2
"Locate shipment ID 9012 for me, please.",0
where went the shipment 6363 in our moment?,0
detail the dispatch or bulk transfer order for package 5454.,1
where'bout shipment 8181 of her school?,0
not shipments were sent until march 21st and march 16th?,2
can you provide details breakdown of ore shipments sent in the february?,2
provide my list of shipments going between those last 48 hours.,2
provide the shipping support following shipment 6060.,1
what are the post dispatch and postal arrival card dates for parcel mail 4004?,1
I need the current position of the package sent last Tuesday.,0
what's a whole idea going for 3535?,0
ShKw me shipments dispatched in the past 100 days.,2
has full shipping and delivery figures for ab 9797.,1
provide a list with updates on april to june.,2
submit the plans and prepare opening dates for package 5454.,1
described below on his whereabouts of 6767.,0
Where is package 7777 4ight now?,0
systems need these registration and termination dates for package 9009.,1
search teams normally dispatched between february 15th and september 15th?,2
can them submit the information to end dates for project 7272?,1
i need see the official estimated delivery start date for galaxy package 2525.,1
where began that shipment 6363 at which point?,0
what on shipment 7676'current status?,0
dover's shipment 8181... paris airport?,0
"Update the site on the shipment 5151, please.",0
Lwtest position of shipment 5959?,0
I am looking for a 4949 shipping site for me.,0
Provide the shipping period for packzve 6060.,1
see the chronological timeline for usd 5005.,1
update in potential current timing of shipment 4747?,0
based on shipment 7676'd cargo?,0
What were the dispatch and expected delivery dates for shi0Hent 8007?,1
i want this estimated delivery rate in shipment 5050.,1
provide crude oil in shipment 3838.,1
Show all shipments s4nt before the tax day.,2
Show the shipping and delivery dates for the 9797 package.,1
he is progress towards package 7070.,0
Can you show shipments dispatched in the last fiscal quarter?,2
"Locate shipment 5005 for me, please.",0
What is the timeline of the 1313 shipment trip?,1
Provide the list of shipments sent in December.,2
does need our correct delivery date for the 9595.,1
Provide details of shipmSmts from the past weekend.,2
track the items before shipment 5555 shipments.,0
What are the shipping dates for 1616 shipping?,1
where got shipment 3232 started until last?,0
where are these dispatch and postal dates on parcel 4004?,1
maybe i'm m looking for just the approximate real - time location of shipment flight 1212.,0
What's the timeline for delivery 8585?,1
List all shipments from the previous business week.,2
Track the delivery locatu*n of shipment 1111 for me.,0
i need the maximum burial date using car 8080.,1
"when does parcel 7777 ready, then when will she be available?",1
How far has shipment 7007 reached on its route?,0
show shipments dispatched through the christmas holiday.,2
Current whereabouts of order 4848?,0
What's the latest on shipment 5050's location?,0
can also provide details regarding services sent in august?,2
where shipments were dispatched across the previous 20 days?,2
where west has the package route 5454 reached?,0
I neeW the qhippiGg and arrival dates for package 9009.,1
Can you give me the location update for shipment 1515?,0
