text,intent
what's that conjecture on the whereabouts near hotel 1414?,Query_for_Shipment_Location
can you write you the quarterly update and shipment 1515?,Query_for_Shipment_Location
since had any shipment with id 1616 currently sent?,Query_for_Shipment_Location
need new additional location to its consignment 1717.,Query_for_Shipment_Location
how late would shipment 1818 reaching its destination?,Query_for_Shipment_Location
is shipment 1919 ever on track? where was progress tomorrow?,Query_for_Shipment_Location
their current output until shipment 2020.,Query_for_Shipment_Location
locate the cell all around chicago with cell 2121.,Query_for_Shipment_Location
where's my block on 2222... now?,Query_for_Shipment_Location
i want more goods at my freight 2323.,Query_for_Shipment_Location
is where shipment 2424 is on the terminus.,Query_for_Shipment_Location
find no first information of my order 2525.,Query_for_Shipment_Location
cities'new local status and location to shipment 2626?,Query_for_Shipment_Location
wherever did shipment 2727 last transmission go?,Query_for_Shipment_Location
promise me one precise location of delivery 2828.,Query_for_Shipment_Location
will you guess wherever shipment 2929 is currently?,Query_for_Shipment_Location
changes the current spot to fm 3030.,Query_for_Shipment_Location
need an office on at current location on 3131.,Query_for_Shipment_Location
where having shipment 3232 been taken exactly?,Query_for_Shipment_Location
the position of railway vehicle 3333?,Query_for_Shipment_Location
"today the shipment numbered 3434, 500.",Query_for_Shipment_Location
what's a whole idea going for 3535?,Query_for_Shipment_Location
opened the plant with shipment 3636.,Query_for_Shipment_Location
when is its interchange with route 3737 now?,Query_for_Shipment_Location
could you provide my proper location to shipment 3838?,Query_for_Shipment_Location
where's its location under our code 3939?,Query_for_Shipment_Location
now've looking into the current position of 4040.,Query_for_Shipment_Location
show of the second bag of shipment 4141.,Query_for_Shipment_Location
where could shipment 4242 not staying?,Query_for_Shipment_Location
provide the data under district 4343.,Query_for_Shipment_Location
need for clearance from shipment 4444.,Query_for_Shipment_Location
track her shipping location to shipment 4545.,Query_for_Shipment_Location
why'm my spare 4646 right now?,Query_for_Shipment_Location
update in potential current timing of shipment 4747?,Query_for_Shipment_Location
same name of prisoner 4848?,Query_for_Shipment_Location
find your office of shipment 4949 for help.,Query_for_Shipment_Location
what'd the more on shipment 5050'secret history?,Query_for_Shipment_Location
"citation identified from shipment 5151, please.",Query_for_Shipment_Location
can we locate shipment 5252 without sure?,Query_for_Shipment_Location
the initial location in parcel 5353.,Query_for_Shipment_Location
what has model 5454 hidden?,Query_for_Shipment_Location
track for amount of shipment 5555 tons.,Query_for_Shipment_Location
provide minimum transaction number of shipment 5656.,Query_for_Shipment_Location
this need an update beyond our location on 5757.,Query_for_Shipment_Location
where goes the year 5858 hours?,Query_for_Shipment_Location
cherry bomb inside shipment 5959?,Query_for_Shipment_Location
with the hard spot call package 6060.,Query_for_Shipment_Location
ask him where shipment 6161 started.,Query_for_Shipment_Location
need to current distances were 6262.,Query_for_Shipment_Location
where are our shipment 6363 any lunch minute?,Query_for_Shipment_Location
can he see the traffic location of 6464?,Query_for_Shipment_Location
from them shipment 6565 is set.,Query_for_Shipment_Location
what're my location after package 6666?,Query_for_Shipment_Location
he adds on the whereabouts from 6767.,Query_for_Shipment_Location
do time for shipment 6868?,Query_for_Shipment_Location
when has shipment 6969 last train dropped?,Query_for_Shipment_Location
he is progress towards package 7070.,Query_for_Shipment_Location
after the return of flight 7171.,Query_for_Shipment_Location
yet to be since shipment 7272 is.,Query_for_Shipment_Location
see shipment 7373 for these purposes.,Query_for_Shipment_Location
where's this status of 7474'a loss?,Query_for_Shipment_Location
take the likely spot if shipment 7575.,Query_for_Shipment_Location
based on shipment 7676'd cargo?,Query_for_Shipment_Location
how is the 7777 safe now?,Query_for_Shipment_Location
official position at cargo shipment 7878?,Query_for_Shipment_Location
locate with exact date of 7979.,Query_for_Shipment_Location
shall be balance of shipment 8080.,Query_for_Shipment_Location
where'bout shipment 8181 of her school?,Query_for_Shipment_Location
show the version from 8282.,Query_for_Shipment_Location
perhaps where my brother 8383 is found.,Query_for_Shipment_Location
sought a location for shipment 8484.,Query_for_Shipment_Location
who is this year 8585 at now?,Query_for_Shipment_Location
numbers list current record of 8686.,Query_for_Shipment_Location
by morse code of 8787?,Query_for_Shipment_Location
locate my latest device and shipment 8888.,Query_for_Shipment_Location
show us the card in package 8989.,Query_for_Shipment_Location
based on shipment 9090 had last located?,Query_for_Shipment_Location
where had shipment silver 1234 currently concerned?,Query_for_Shipment_Location
did somebody tell me the exact location on my shipment to northern york?,Query_for_Shipment_Location
i need your current position but the package is right tuesday.,Query_for_Shipment_Location
what'd the last known clue and last shipment under document number 5678?,Query_for_Shipment_Location
"send shipment form 9012 on me, please.",Query_for_Shipment_Location
whom had the shipment ready for chicago reached?,Query_for_Shipment_Location
can you tell me regarding the location of our shipment into shipping services?,Query_for_Shipment_Location
find the present whereabouts of my express journey during london.,Query_for_Shipment_Location
i'd looking for some one - time status of this shipment with id 3456.,Query_for_Shipment_Location
please provide the location in indicating another additional shipment to seattle.,Query_for_Shipment_Location
what is shipment x 1001 right?,Query_for_Shipment_Location
can anyone determine the next location of earth 2022?,Query_for_Shipment_Location
sell me the last large prints on shipment 3003.,Query_for_Shipment_Location
i need another current form of project 4004.,Query_for_Shipment_Location
"last shipment 5005 please me, john.",Query_for_Shipment_Location
an'has the population of our village numbered 6006?,Query_for_Shipment_Location
how late would shipment 7007 reached to their route?,Query_for_Shipment_Location
further details regarding the location status of building 8008.,Query_for_Shipment_Location
where has my package or tracking tech 9009 gotten these?,Query_for_Shipment_Location
evidence for likely position of shipment 1010.,Query_for_Shipment_Location
track by current route of shipment 1111 on me.,Query_for_Shipment_Location
police've looking for a known - life location of shipment 1212.,Query_for_Shipment_Location
provide full postal code of shipment 1313.,Query_for_Shipment_Location
which's the part about the whereabouts of in 1414?,Query_for_Shipment_Location
could you find us the location update or shipment 1515?,Query_for_Shipment_Location
why is every shipment with id 1616 declared safe?,Query_for_Shipment_Location
nearly every current balance of us consignment 1717.,Query_for_Shipment_Location
how along are shipment 1818 to our destination?,Query_for_Shipment_Location
is shipment 1919 still on sale? how goes king now?,Query_for_Shipment_Location
show our manufacture and shipment 2020.,Query_for_Shipment_Location
follows the fugitive close to chicago destination id 2121.,Query_for_Shipment_Location
where'n the message from 2222 just now?,Query_for_Shipment_Location
road reached the location of trans freight 2323.,Query_for_Shipment_Location
look where shipment 2424 is at front right.,Query_for_Shipment_Location
with first latest position of sequence order 2525.,Query_for_Shipment_Location
now'is your status by location of shipment 2626?,Query_for_Shipment_Location
what will shipment 2727 actually check in?,Query_for_Shipment_Location
lend them the current location and delivery 2828.,Query_for_Shipment_Location
do you check where shipment 2929 fits now?,Query_for_Shipment_Location
get the other spot on package 3030.,Query_for_Shipment_Location
need station office for metro transit location of 3131.,Query_for_Shipment_Location
where got shipment 3232 started until last?,Query_for_Shipment_Location
took responsibility over our package 3333?,Query_for_Shipment_Location
"locate second shipment against 3434, 001.",Query_for_Shipment_Location
50'is the latest performance update of 3535?,Query_for_Shipment_Location
first possible source of shipment 3636.,Query_for_Shipment_Location
what is the bible in id 3737 pages?,Query_for_Shipment_Location
can they confirm the actual location on shipment 3838?,Query_for_Shipment_Location
why's your situation within our parcel 3939?,Query_for_Shipment_Location
i'm tracing down the location code of 4040.,Query_for_Shipment_Location
give me those new location of shipment 4141.,Query_for_Shipment_Location
connection with shipment 4242 arriving at?,Query_for_Shipment_Location
confirm the implementation under package 4343.,Query_for_Shipment_Location
japanese location information on shipment 4444.,Query_for_Shipment_Location
location and exact location of shipment 4545.,Query_for_Shipment_Location
where's that package 4646 still here?,Query_for_Shipment_Location
see on the american location as shipment 4747?,Query_for_Shipment_Location
british owners of car 4848?,Query_for_Shipment_Location
find the remains of shipment 4949 and safety.,Query_for_Shipment_Location
how'e the meaning of shipment 5050's location?,Query_for_Shipment_Location
"latest update for shipment 5151, november.",Query_for_Shipment_Location
did you charge shipment 5252 through me?,Query_for_Shipment_Location
california reference state of parcel 5353.,Query_for_Shipment_Location
they have me 5454 reached?,Query_for_Shipment_Location
track the items before shipment 5555 shipments.,Query_for_Shipment_Location
provide some current data on shipment 5656.,Query_for_Shipment_Location
we got an insight on the contents of 5757.,Query_for_Shipment_Location
still works the boeing 5858 currently?,Query_for_Shipment_Location
what message is shipment 5959?,Query_for_Shipment_Location
near the current spot at highway 6060.,Query_for_Shipment_Location
wondering just which shipment 6161 is.,Query_for_Shipment_Location
need at current capacity is 6262.,Query_for_Shipment_Location
where were my shipment 6363 at west point?,Query_for_Shipment_Location
can you track its current coordinates at 6464?,Query_for_Shipment_Location
tell you shipment 6565 occurs now.,Query_for_Shipment_Location
what's my tape on package 6666?,Query_for_Shipment_Location
update is on the phone at 6767.,Query_for_Shipment_Location
come from where shipment 6868?,Query_for_Shipment_Location
he has shipment 6969 that was seen?,Query_for_Shipment_Location
replaces the service on package 7070.,Query_for_Shipment_Location
along the intersection of sr 7171.,Query_for_Shipment_Location
need no tell when shipment 7272 is.,Query_for_Shipment_Location
a shipment 7373 found a position.,Query_for_Shipment_Location
where'd the mystery in 7474's location?,Query_for_Shipment_Location
then most precise spot of shipment 7575.,Query_for_Shipment_Location
what for shipment 7676's performance?,Query_for_Shipment_Location
where is your 7777 unit number?,Query_for_Shipment_Location
a position to the shipment 7878?,Query_for_Shipment_Location
locate its exact position was 7979.,Query_for_Shipment_Location
need that key to shipment 8080.,Query_for_Shipment_Location
what's shipment 8181 as a station?,Query_for_Shipment_Location
backing up version of 8282.,Query_for_Shipment_Location
implemented as source package 8383 is currently.,Query_for_Shipment_Location
update of tab on shipment 8484.,Query_for_Shipment_Location
